cr_year,esac_publisher,collection,articles,oa_articles,oa_prop
2017,AIP Publishing,global,30006,730,0.02432846763980537
2017,Akadémiai Kiadó,global,1093,37,0.03385178408051235
2017,American Chemical Society,global,51961,41,7.890533284578818e-4
2017,American Meteorological Society,global,2290,49,0.021397379912663755
2017,American Physical Society,global,18989,438,0.0230659855705935
2017,American Physiological Society,global,31043,730,0.02351576845021422
2017,American Psychological Association,global,6236,64,0.010262989095574085
2017,American Thoracic Society,global,1252,0,0
2017,Association for Computing Machinery,global,5148,80,0.01554001554001554
2017,Bentham Science Publishers,global,5702,14,0.002455278849526482
2017,Bioscientifica,global,769,66,0.0858257477243173
2017,BMJ Publishing,global,17451,113,0.006475273623288064
2017,Brill,global,6696,152,0.022700119474313024
2017,Bristol University Press,global,360,19,0.05277777777777778
2017,Cambridge University Press,global,28179,574,0.020369778913375207
2017,Canadian Science Publishing,global,2367,0,0
2017,Cold Spring Harbor Laboratory Press,global,341,0,0
2017,Company of Biologists,global,1564,95,0.06074168797953964
2017,CSIRO,global,2059,0,0
2017,EDP Sciences,global,4495,79,0.017575083426028922
2017,Edward Elgar Publishing,global,154,0,0
2017,Elsevier,global,496440,14882,0.029977439368302314
2017,Emerald,global,15050,23,0.0015282392026578072
2017,European Respiratory Society,global,639,0,0
2017,Future Science Group,global,2137,198,0.09265325222274216
2017,Hogrefe,global,930,12,0.012903225806451613
2017,IEEE,global,45019,393,0.008729647482174193
2017,Inter-Research Science Publisher,global,635,0,0
2017,IOP Publishing,global,27165,1029,0.03787962451684152
2017,IOS Press,global,4424,273,0.061708860759493674
2017,IWA Publishing,global,75,1,0.013333333333333334
2017,John Benjamins Publishing,global,1481,26,0.017555705604321403
2017,Karger,global,5057,209,0.04132885109748863
2017,"Mary Ann Liebert, Inc.",global,7810,1,1.2804097311139564e-4
2017,Microbiology Society,global,1624,106,0.06527093596059114
2017,National Academy of Sciences,global,4018,212,0.05276256844201095
2017,Optica,global,2706,28,0.010347376201034738
2017,Oxford University Press,global,67882,1786,0.02631036209893639
2017,Portland Press,global,734,154,0.2098092643051771
2017,Radiological Society of North America,global,495,0,0
2017,Rockefeller University Press,global,661,68,0.10287443267776097
2017,Royal College of General Practitioners,global,439,0,0
2017,Royal Irish Academy,global,161,0,0
2017,Royal Society of Chemistry,global,29221,693,0.023715820813798295
2017,Sage,global,66483,504,0.007580885339109246
2017,Society for Neuroscience,global,1043,0,0
2017,SPIE,global,1652,0,0
2017,Springer Nature,global,268870,17570,0.06534756573808904
2017,Taylor and Francis,global,129869,4100,0.03157027466138956
2017,The Electrochemical Society,global,23287,869,0.03731695795937648
2017,The Geological Society of London,global,595,72,0.12100840336134454
2017,The Royal Society,global,2283,23,0.010074463425317565
2017,Thieme,global,15305,135,0.008820646847435479
2017,Trans Tech Publications,global,5924,53,0.008946657663740715
2017,Walter de Gruyter,global,18358,430,0.023423030831245233
2017,White Horse Press,global,104,0,0
2017,Wiley,global,180271,7942,0.0440558936268174
2017,Wolters Kluwer Health,global,69605,751,0.010789454780547374
2017,World Scientific,global,7611,0,0
2018,AIP Publishing,global,29712,697,0.023458535271943994
2018,Akadémiai Kiadó,global,1191,30,0.02518891687657431
2018,American Chemical Society,global,57240,55,9.608665269042627e-4
2018,American Meteorological Society,global,2047,33,0.01612115290669272
2018,American Physical Society,global,19404,2745,0.1414656771799629
2018,American Physiological Society,global,31208,697,0.022334016918738785
2018,American Psychological Association,global,6641,71,0.010691160969733474
2018,American Thoracic Society,global,1260,0,0
